category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
158,47.0,5.0,1.0,39.0,1.0,988.31,791.92,6.0
159,153.0,12.0,1.0,3.0,0.0,49.0,20.0,6.0
160,9.0,8.0,0.0,0.0,0.0,0.0,2200.0,6.0
161,34.0,6.0,1.0,8.0,0.0,525.5,500.0,6.0
162,35.0,4.0,0.0,0.0,0.0,0.0,900.0,6.0
163,32.0,6.0,1.0,20.0,2.0,919.58,917.29,6.0
164,18.0,4.0,0.0,3.0,0.0,351.0,150000.0,6.0
165,3.0,3.0,1.0,15.0,0.0,115.0,1.0,6.0
166,24.0,13.0,1.0,41.0,0.0,690.0,500.0,6.0
167,31.0,6.0,1.0,12.0,0.0,320.0,25.0,6.0
168,2.0,1.0,1.0,7.0,0.0,40.0,1.0,6.0
169,0.0,5.0,1.0,55.0,0.0,3018.99,3000.0,6.0
170,19.0,10.0,0.0,2.0,0.0,70.0,13000.0,6.0
171,2.0,1.0,3.0,0.0,4.0,5000.0,5000.0,6.0
172,4.0,0.0,0.0,50.0,0.0,6630.0,14000.0,6.0
173,44.0,3.0,1.0,105.0,2.0,3174.62,3004.13,6.0
174,36.0,8.0,0.0,0.0,3.0,0.0,4395.6,6.0
175,75.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0
176,35.0,4.0,0.0,0.0,2.0,0.0,22.9,6.0
177,36.0,8.0,0.0,3.0,0.0,81.0,10000.0,6.0
178,47.0,5.0,1.0,34.0,0.0,1727.0,1000.0,7.0
179,90.0,11.0,1.0,181.0,0.0,3594.0,400.0,7.0
180,60.0,7.0,0.0,1.0,0.0,40.0,4000.0,7.0
181,3.0,3.0,1.0,32.0,0.0,3391.0,2500.0,7.0
182,10.0,6.0,1.0,79.0,0.0,6815.0,5000.0,7.0
183,10.0,6.0,1.0,1.0,0.0,10.0,10.0,7.0
184,16.0,2.0,2.0,0.0,0.0,0.0,20500.0,7.0
185,40.0,1.0,1.0,8.0,1.0,465.81,452.87,7.0
186,17.0,1.0,0.0,0.0,0.0,0.0,70000.0,7.0
187,31.0,6.0,1.0,37.0,0.0,637.0,10.0,7.0
188,50.0,14.0,1.0,63.0,0.0,2287.0,1500.0,7.0
189,3.0,3.0,1.0,3301.0,0.0,17157.71,5000.0,7.0
190,46.0,0.0,0.0,3.0,0.0,2020.0,7000.0,7.0
191,9.0,8.0,0.0,2.0,0.0,22.0,360.0,7.0
192,3.0,3.0,1.0,124.0,0.0,1500.01,12.0,7.0
193,1.0,0.0,0.0,1.0,3.0,89.43,1341.44,7.0
194,5.0,3.0,0.0,3.0,2.0,45.82,1768.35,7.0
195,1.0,0.0,0.0,10.0,0.0,1275.0,6000.0,7.0
196,7.0,0.0,1.0,4.0,0.0,109.0,100.0,7.0
197,40.0,1.0,1.0,23.0,0.0,1187.0,1129.0,7.0
198,1.0,0.0,2.0,9.0,0.0,110.0,10000.0,7.0
199,11.0,2.0,0.0,8.0,0.0,250.0,6700.0,7.0
200,4.0,0.0,1.0,12.0,0.0,1405.0,1400.0,7.0
201,8.0,2.0,2.0,0.0,0.0,0.0,15000.0,7.0
202,12.0,9.0,1.0,86.0,0.0,3752.0,2250.0,7.0
203,37.0,6.0,1.0,18.0,0.0,305.0,250.0,7.0
204,8.0,2.0,1.0,40.0,0.0,6325.0,6000.0,7.0
205,34.0,6.0,0.0,1.0,13.0,51.12,78.65,7.0
206,11.0,2.0,1.0,21.0,0.0,1380.0,500.0,7.0
207,31.0,6.0,0.0,3.0,0.0,201.0,5000.0,7.0
208,10.0,6.0,0.0,16.0,0.0,590.0,1800.0,7.0
209,4.0,0.0,1.0,48.0,0.0,5805.0,5000.0,7.0
210,3.0,3.0,1.0,237.0,0.0,8752.0,6500.0,7.0
211,3.0,3.0,1.0,75.0,0.0,2616.0,1500.0,8.0
212,0.0,5.0,2.0,7.0,2.0,979.91,746.88,8.0
213,49.0,1.0,0.0,0.0,0.0,0.0,9000000.0,8.0
214,63.0,9.0,1.0,34.0,1.0,1379.23,999.44,8.0
215,128.0,2.0,1.0,68.0,0.0,1814.0,1800.0,8.0
216,12.0,9.0,1.0,25.0,0.0,1515.0,1500.0,8.0
217,6.0,7.0,0.0,3.0,0.0,201.0,36000.0,8.0
218,41.0,11.0,1.0,23.0,1.0,449.68,366.19,8.0
219,100.0,0.0,0.0,0.0,0.0,0.0,2500.0,8.0
